Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365600.100,,,   128573793.855,,,,,,   127604181.136,,,,,   108739259.402,   130736921.695,,,   115366783.971,   113544612.506,,,   124536817.164,   108949206.334,,,,   111921707.260,   126836359.135,,
  1429365600.200,,,   128573627.275,,,,,,   127604220.494,,,,,   108739279.453,   130737329.233,,,   115366527.230,   113544829.485,,,   124536520.801,   108949323.192,,,,   111921515.022,   126836658.774,,
  1429365600.300,,,   128573460.683,,,,,,   127604259.873,,,,,   108739299.521,   130737736.764,,,   115366270.505,   113545046.454,,,   124536224.455,   108949440.048,,,,   111921322.784,   126836958.404,,
  1429365600.400,,,   128573294.078,,,,,,   127604299.273,,,,,   108739319.605,   130738144.289,,,   115366013.794,   113545263.414,,,   124535928.126,   108949556.903,,,,   111921130.543,   126837258.027,,
  1429365600.500,,,   128573127.461,,,,,,   127604338.694,,,,,   108739339.707,   130738551.808,,,   115365757.098,   113545480.364,,,   124535631.816,   108949673.756,,,,   111920938.302,   126837557.641,,
  1429365600.600,,,   128572960.831,,,,,,   127604378.137,,,,,   108739359.825,   130738959.319,,,   115365500.416,   113545697.305,,,   124535335.522,   108949790.608,,,,   111920746.059,   126837857.249,,
  1429365600.700,,,   128572794.189,,,,,,   127604417.601,,,,,   108739379.960,   130739366.825,,,   115365243.750,   113545914.236,,,   124535039.246,   108949907.458,,,,   111920553.814,   126838156.849,,
  1429365600.800,,,   128572627.534,,,,,,   127604457.087,,,,,   108739400.111,   130739774.323,,,   115364987.099,   113546131.158,,,   124534742.987,   108950024.307,,,,   111920361.567,   126838456.441,,
  1429365600.900,,,   128572460.867,,,,,,   127604496.594,,,,,   108739420.279,   130740181.815,,,   115364730.461,   113546348.070,,,   124534446.744,   108950141.155,,,,   111920169.317,   126838756.026,,
  1429365601.000,,,   128572294.188,,,,,,   127604536.124,,,,,   108739440.463,   130740589.298,,,   115364473.841,   113546564.972,,,   124534150.518,   108950258.001,,,,   111919977.066,   126839055.605,,
  1429365601.100,,,   128572127.498,,,,,,   127604575.676,,,,,   108739460.664,   130740996.774,,,   115364217.234,   113546781.864,,,   124533854.310,   108950374.846,,,,   111919784.813,   126839355.177,,
  1429365601.200,,,   128571960.794,,,,,,   127604615.250,,,,,   108739480.881,   130741404.244,,,   115363960.642,   113546998.747,,,   124533558.117,   108950491.691,,,,   111919592.557,   126839654.742,,
  1429365601.300,,,   128571794.080,,,,,,   127604654.846,,,,,   108739501.114,   130741811.704,,,   115363704.066,   113547215.620,,,   124533261.942,   108950608.534,,,,   111919400.299,   126839954.301,,
  1429365601.400,,,   128571627.353,,,,,,   127604694.465,,,,,   108739521.364,   130742219.157,,,   115363447.505,   113547432.484,,,   124532965.782,   108950725.376,,,,   111919208.038,   126840253.854,,
  1429365601.500,,,   128571460.615,,,,,,   127604734.106,,,,,   108739541.630,   130742626.600,,,   115363190.960,   113547649.336,,,   124532669.639,   108950842.217,,,,   111919015.774,   126840553.400,,
  1429365601.600,,,   128571293.865,,,,,,   127604773.770,,,,,   108739561.913,   130743034.035,,,   115362934.430,   113547866.180,,,   124532373.513,   108950959.057,,,,   111918823.508,   126840852.942,,
  1429365601.700,,,   128571127.104,,,,,,   127604813.456,,,,,   108739582.211,   130743441.462,,,   115362677.915,   113548083.014,,,   124532077.402,   108951075.896,,,,   111918631.239,   126841152.477,,
  1429365601.800,,,   128570960.331,,,,,,   127604853.166,,,,,   108739602.526,   130743848.878,,,   115362421.415,   113548299.838,,,   124531781.307,   108951192.735,,,,   111918438.967,   126841452.007,,
  1429365601.900,,,   128570793.547,,,,,,   127604892.898,,,,,   108739622.857,   130744256.287,,,   115362164.931,   113548516.652,,,   124531485.228,   108951309.572,,,,   111918246.691,   126841751.532,,
  1429365602.000,,,   128570626.753,,,,,,   127604932.653,,,,,   108739643.203,   130744663.685,,,   115361908.463,   113548733.456,,,   124531189.164,   108951426.409,,,,   111918054.413,   126842051.051,,
  1429365602.100,,,   128570459.947,,,,,,   127604972.432,,,,,   108739663.566,   130745071.074,,,   115361652.010,   113548950.250,,,   124530893.117,   108951543.245,,,,   111917862.131,   126842350.567,,
  1429365602.200,,,   128570293.130,,,,,,   127605012.234,,,,,   108739683.945,   130745478.454,,,   115361395.572,   113549167.034,,,   124530597.084,   108951660.081,,,,   111917669.846,   126842650.077,,
  1429365602.300,,,   128570126.302,,,,,,   127605052.059,,,,,   108739704.339,   130745885.823,,,   115361139.151,   113549383.809,,,   124530301.067,   108951776.916,,,,   111917477.557,   126842949.582,,
  1429365602.400,,,   128569959.464,,,,,,   127605091.907,,,,,   108739724.750,   130746293.183,,,   115360882.745,   113549600.573,,,   124530005.064,   108951893.751,,,,   111917285.265,   126843249.084,,
  1429365602.500,,,   128569792.615,,,,,,   127605131.780,,,,,   108739745.176,   130746700.532,,,   115360626.355,   113549817.328,,,   124529709.077,   108952010.586,,,,   111917092.969,   126843548.581,,
  1429365602.600,,,   128569625.756,,,,,,   127605171.675,,,,,   108739765.617,   130747107.870,,,   115360369.981,   113550034.072,,,   124529413.106,   108952127.419,,,,   111916900.669,   126843848.075,,
  1429365602.700,,,   128569458.887,,,,,,   127605211.595,,,,,   108739786.075,   130747515.198,,,   115360113.621,   113550250.807,,,   124529117.147,   108952244.253,,,,   111916708.365,   126844147.565,,
  1429365602.800,,,   128569292.007,,,,,,   127605251.538,,,,,   108739806.548,   130747922.514,,,   115359857.278,   113550467.532,,,   124528821.204,   108952361.086,,,,   111916516.058,   126844447.051,,
  1429365602.900,,,   128569125.118,,,,,,   127605291.505,,,,,   108739827.036,   130748329.821,,,   115359600.951,   113550684.247,,,   124528525.275,   108952477.920,,,,   111916323.746,   126844746.535,,
  1429365603.000,,,   128568958.218,,,,,,   127605331.496,,,,,   108739847.540,   130748737.114,,,   115359344.639,   113550900.952,,,   124528229.361,   108952594.753,,,,   111916131.430,   126845046.014,,
  1429365603.100,,,   128568791.309,,,,,,   127605371.511,,,,,   108739868.059,   130749144.396,,,   115359088.343,   113551117.647,,,   124527933.461,   108952711.586,,,,   111915939.110,   126845345.492,,
  1429365603.200,,,   128568624.390,,,,,,   127605411.550,,,,,   108739888.594,   130749551.668,,,   115358832.064,   113551334.332,,,   124527637.574,   108952828.419,,,,   111915746.786,   126845644.967,,
  1429365603.300,,,   128568457.462,,,,,,   127605451.613,,,,,   108739909.143,   130749958.927,,,   115358575.800,   113551551.007,,,   124527341.701,   108952945.252,,,,   111915554.457,   126845944.438,,
  1429365603.400,,,   128568290.525,,,,,,   127605491.701,,,,,   108739929.708,   130750366.176,,,   115358319.551,   113551767.673,,,   124527045.841,   108953062.086,,,,   111915362.123,   126846243.908,,
  1429365603.500,,,   128568123.578,,,,,,   127605531.813,,,,,   108739950.288,   130750773.411,,,   115358063.319,   113551984.329,,,   124526749.996,   108953178.919,,,,   111915169.786,   126846543.376,,
  1429365603.600,,,   128567956.623,,,,,,   127605571.949,,,,,   108739970.883,   130751180.633,,,   115357807.103,   113552200.975,,,   124526454.164,   108953295.753,,,,   111914977.443,   126846842.842,,
  1429365603.700,,,   128567789.658,,,,,,   127605612.109,,,,,   108739991.493,   130751587.845,,,   115357550.902,   113552417.611,,,   124526158.345,   108953412.587,,,,   111914785.096,   126847142.307,,
  1429365603.800,,,   128567622.685,,,,,,   127605652.294,,,,,   108740012.118,   130751995.042,,,   115357294.717,   113552634.237,,,   124525862.538,   108953529.422,,,,   111914592.744,   126847441.769,,
  1429365603.900,,,   128567455.703,,,,,,   127605692.503,,,,,   108740032.757,   130752402.228,,,   115357038.548,   113552850.855,,,   124525566.744,   108953646.257,,,,   111914400.387,   126847741.231,,
  1429365604.000,,,   128567288.713,,,,,,   127605732.737,,,,,   108740053.411,   130752809.400,,,   115356782.396,   113553067.461,,,   124525270.964,   108953763.092,,,,   111914208.026,   126848040.691,,
  1429365604.100,,,   128567121.715,,,,,,   127605772.996,,,,,   108740074.080,   130753216.558,,,   115356526.259,   113553284.058,,,   124524975.196,   108953879.929,,,,   111914015.659,   126848340.152,,
  1429365604.200,,,   128566954.708,,,,,,   127605813.279,,,,,   108740094.764,   130753623.704,,,   115356270.138,   113553500.646,,,   124524679.440,   108953996.765,,,,   111913823.287,   126848639.611,,
  1429365604.300,,,   128566787.694,,,,,,   127605853.587,,,,,   108740115.461,   130754030.836,,,   115356014.032,   113553717.224,,,   124524383.696,   108954113.603,,,,   111913630.910,   126848939.070,,
  1429365604.400,,,   128566620.672,,,,,,   127605893.920,,,,,   108740136.174,   130754437.955,,,   115355757.943,   113553933.793,,,   124524087.963,   108954230.442,,,,   111913438.527,   126849238.529,,
  1429365604.500,,,   128566453.643,,,,,,   127605934.278,,,,,   108740156.900,   130754845.060,,,   115355501.870,   113554150.352,,,   124523792.244,   108954347.281,,,,   111913246.140,   126849537.987,,
  1429365604.600,,,   128566286.605,,,,,,   127605974.660,,,,,   108740177.641,   130755252.150,,,   115355245.812,   113554366.901,,,   124523496.536,   108954464.121,,,,   111913053.747,   126849837.447,,
  1429365604.700,,,   128566119.561,,,,,,   127606015.067,,,,,   108740198.396,   130755659.228,,,   115354989.770,   113554583.441,,,   124523200.838,   108954580.963,,,,   111912861.349,   126850136.907,,
  1429365604.800,,,   128565952.509,,,,,,   127606055.499,,,,,   108740219.165,   130756066.290,,,   115354733.745,   113554799.971,,,   124522905.152,   108954697.805,,,,   111912668.945,   126850436.367,,
  1429365604.900,,,   128565785.451,,,,,,   127606095.956,,,,,   108740239.948,   130756473.339,,,   115354477.734,   113555016.493,,,   124522609.477,   108954814.649,,,,   111912476.536,   126850735.828,,
  1429365605.000,,,   128565618.386,,,,,,   127606136.438,,,,,   108740260.744,   130756880.373,,,   115354221.740,   113555233.005,,,   124522313.814,   108954931.493,,,,   111912284.121,   126851035.290,,
  1429365605.100,,,   128565451.315,,,,,,   127606176.945,,,,,   108740281.555,   130757287.392,,,   115353965.762,   113555449.507,,,   124522018.161,   108955048.340,,,,   111912091.701,   126851334.754,,
  1429365605.200,,,   128565284.237,,,,,,   127606217.477,,,,,   108740302.379,   130757694.397,,,   115353709.798,   113555666.001,,,   124521722.518,   108955165.187,,,,   111911899.274,   126851634.220,,
  1429365605.300,,,   128565117.152,,,,,,   127606258.034,,,,,   108740323.217,   130758101.387,,,   115353453.851,   113555882.485,,,   124521426.885,   108955282.036,,,,   111911706.843,   126851933.686,,
  1429365605.400,,,   128564950.062,,,,,,   127606298.615,,,,,   108740344.069,   130758508.361,,,   115353197.920,   113556098.960,,,   124521131.264,   108955398.887,,,,   111911514.404,   126852233.155,,
  1429365605.500,,,   128564782.966,,,,,,   127606339.222,,,,,   108740364.933,   130758915.320,,,   115352942.004,   113556315.426,,,   124520835.652,   108955515.739,,,,   111911321.961,   126852532.626,,
  1429365605.600,,,   128564615.864,,,,,,   127606379.854,,,,,   108740385.811,   130759322.264,,,   115352686.104,   113556531.883,,,   124520540.049,   108955632.592,,,,   111911129.512,   126852832.100,,
  1429365605.700,,,   128564448.757,,,,,,   127606420.511,,,,,   108740406.703,   130759729.193,,,   115352430.219,   113556748.331,,,   124520244.456,   108955749.448,,,,   111910937.056,   126853131.577,,
  1429365605.800,,,   128564281.645,,,,,,   127606461.193,,,,,   108740427.607,   130760136.106,,,   115352174.351,   113556964.770,,,   124519948.873,   108955866.305,,,,   111910744.595,   126853431.056,,
  1429365605.900,,,   128564114.526,,,,,,   127606501.900,,,,,   108740448.525,   130760543.004,,,   115351918.497,   113557181.200,,,   124519653.299,   108955983.165,,,,   111910552.128,   126853730.538,,
  1429365606.000,,,   128563947.404,,,,,,   127606542.632,,,,,   108740469.456,   130760949.886,,,   115351662.659,   113557397.621,,,   124519357.734,   108956100.026,,,,   111910359.654,   126854030.023,,
  1429365606.100,,,   128563780.277,,,,,,   127606583.389,,,,,   108740490.399,   130761356.751,,,   115351406.837,   113557614.034,,,   124519062.178,   108956216.889,,,,   111910167.175,   126854329.513,,
  1429365606.200,,,   128563613.145,,,,,,   127606624.171,,,,,   108740511.355,   130761763.601,,,   115351151.029,   113557830.438,,,   124518766.630,   108956333.755,,,,   111909974.689,   126854629.006,,
  1429365606.300,,,   128563446.009,,,,,,   127606664.978,,,,,   108740532.324,   130762170.435,,,   115350895.238,   113558046.834,,,   124518471.091,   108956450.623,,,,   111909782.198,   126854928.502,,
  1429365606.400,,,   128563278.869,,,,,,   127606705.810,,,,,   108740553.305,   130762577.253,,,   115350639.461,   113558263.221,,,   124518175.560,   108956567.493,,,,   111909589.699,   126855228.003,,
  1429365606.500,,,   128563111.725,,,,,,   127606746.667,,,,,   108740574.299,   130762984.054,,,   115350383.700,   113558479.600,,,   124517880.037,   108956684.365,,,,   111909397.195,   126855527.508,,
  1429365606.600,,,   128562944.577,,,,,,   127606787.549,,,,,   108740595.305,   130763390.837,,,   115350127.955,   113558695.970,,,   124517584.522,   108956801.239,,,,   111909204.685,   126855827.018,,
  1429365606.700,,,   128562777.426,,,,,,   127606828.456,,,,,   108740616.323,   130763797.606,,,   115349872.224,   113558912.332,,,   124517289.015,   108956918.117,,,,   111909012.168,   126856126.533,,
  1429365606.800,,,   128562610.271,,,,,,   127606869.388,,,,,   108740637.354,   130764204.357,,,   115349616.508,   113559128.686,,,   124516993.515,   108957034.996,,,,   111908819.645,   126856426.052,,
  1429365606.900,,,   128562443.113,,,,,,   127606910.344,,,,,   108740658.397,   130764611.092,,,   115349360.807,   113559345.032,,,   124516698.022,   108957151.879,,,,   111908627.115,   126856725.577,,
  1429365607.000,,,   128562275.952,,,,,,   127606951.326,,,,,   108740679.451,   130765017.809,,,   115349105.122,   113559561.370,,,   124516402.537,   108957268.764,,,,   111908434.579,   126857025.108,,
  1429365607.100,,,   128562108.789,,,,,,   127606992.332,,,,,   108740700.518,   130765424.510,,,   115348849.452,   113559777.699,,,   124516107.058,   108957385.652,,,,   111908242.038,   126857324.644,,
  1429365607.200,,,   128561941.623,,,,,,   127607033.364,,,,,   108740721.596,   130765831.194,,,   115348593.795,   113559994.021,,,   124515811.586,   108957502.543,,,,   111908049.488,   126857624.186,,
  1429365607.300,,,   128561774.454,,,,,,   127607074.420,,,,,   108740742.685,   130766237.860,,,   115348338.155,   113560210.335,,,   124515516.121,   108957619.437,,,,   111907856.934,   126857923.733,,
  1429365607.400,,,   128561607.283,,,,,,   127607115.501,,,,,   108740763.787,   130766644.510,,,   115348082.528,   113560426.642,,,   124515220.661,   108957736.334,,,,   111907664.372,   126858223.288,,
  1429365607.500,,,   128561440.111,,,,,,   127607156.606,,,,,   108740784.899,   130767051.142,,,   115347826.917,   113560642.941,,,   124514925.208,   108957853.234,,,,   111907471.804,   126858522.849,,
  1429365607.600,,,   128561272.937,,,,,,   127607197.736,,,,,   108740806.023,   130767457.757,,,   115347571.320,   113560859.231,,,   124514629.760,   108957970.137,,,,   111907279.230,   126858822.416,,
  1429365607.700,,,   128561105.761,,,,,,   127607238.891,,,,,   108740827.159,   130767864.354,,,   115347315.737,   113561075.516,,,   124514334.318,   108958087.044,,,,   111907086.649,   126859121.991,,
  1429365607.800,,,   128560938.585,,,,,,   127607280.070,,,,,   108740848.305,   130768270.933,,,   115347060.170,   113561291.792,,,   124514038.882,   108958203.954,,,,   111906894.061,   126859421.572,,
  1429365607.900,,,   128560771.406,,,,,,   127607321.274,,,,,   108740869.462,   130768677.496,,,   115346804.615,   113561508.062,,,   124513743.450,   108958320.867,,,,   111906701.467,   126859721.162,,
  1429365608.000,,,   128560604.228,,,,,,   127607362.502,,,,,   108740890.630,   130769084.040,,,   115346549.077,   113561724.324,,,   124513448.024,   108958437.784,,,,   111906508.867,   126860020.759,,
  1429365608.100,,,   128560437.049,,,,,,   127607403.754,,,,,   108740911.809,   130769490.566,,,   115346293.552,   113561940.578,,,   124513152.602,   108958554.704,,,,   111906316.261,   126860320.363,,
  1429365608.200,,,   128560269.868,,,,,,   127607445.031,,,,,   108740932.999,   130769897.075,,,   115346038.041,   113562156.827,,,   124512857.186,   108958671.629,,,,   111906123.647,   126860619.976,,
  1429365608.300,,,   128560102.688,,,,,,   127607486.332,,,,,   108740954.199,   130770303.566,,,   115345782.545,   113562373.068,,,   124512561.773,   108958788.557,,,,   111905931.027,   126860919.596,,
  1429365608.400,,,   128559935.508,,,,,,   127607527.658,,,,,   108740975.409,   130770710.039,,,   115345527.061,   113562589.303,,,   124512266.364,   108958905.488,,,,   111905738.400,   126861219.226,,
  1429365608.500,,,   128559768.328,,,,,,   127607569.007,,,,,   108740996.630,   130771116.494,,,   115345271.593,   113562805.531,,,   124511970.960,   108959022.424,,,,   111905545.768,   126861518.864,,
  1429365608.600,,,   128559601.149,,,,,,   127607610.381,,,,,   108741017.861,   130771522.931,,,   115345016.138,   113563021.753,,,   124511675.559,   108959139.364,,,,   111905353.128,   126861818.510,,
  1429365608.700,,,   128559433.970,,,,,,   127607651.778,,,,,   108741039.102,   130771929.350,,,   115344760.696,   113563237.968,,,   124511380.162,   108959256.307,,,,   111905160.482,   126862118.166,,
  1429365608.800,,,   128559266.792,,,,,,   127607693.199,,,,,   108741060.353,   130772335.750,,,   115344505.269,   113563454.176,,,   124511084.769,   108959373.255,,,,   111904967.830,   126862417.831,,
  1429365608.900,,,   128559099.615,,,,,,   127607734.645,,,,,   108741081.614,   130772742.133,,,   115344249.855,   113563670.379,,,   124510789.377,   108959490.207,,,,   111904775.171,   126862717.505,,
  1429365609.000,,,   128558932.440,,,,,,   127607776.114,,,,,   108741102.885,   130773148.496,,,   115343994.454,   113563886.575,,,   124510493.990,   108959607.163,,,,   111904582.506,   126863017.190,,
  1429365609.100,,,   128558765.266,,,,,,   127607817.606,,,,,   108741124.165,   130773554.842,,,   115343739.067,   113564102.766,,,   124510198.605,   108959724.124,,,,   111904389.834,   126863316.883,,
  1429365609.200,,,   128558598.094,,,,,,   127607859.123,,,,,   108741145.455,   130773961.170,,,   115343483.694,   113564318.951,,,   124509903.222,   108959841.089,,,,   111904197.156,   126863616.588,,
  1429365609.300,,,   128558430.924,,,,,,   127607900.662,,,,,   108741166.754,   130774367.479,,,   115343228.333,   113564535.129,,,   124509607.842,   108959958.059,,,,   111904004.471,   126863916.302,,
  1429365609.400,,,   128558263.756,,,,,,   127607942.225,,,,,   108741188.062,   130774773.770,,,   115342972.985,   113564751.303,,,   124509312.463,   108960075.033,,,,   111903811.780,   126864216.027,,
  1429365609.500,,,   128558096.590,,,,,,   127607983.812,,,,,   108741209.380,   130775180.042,,,   115342717.651,   113564967.471,,,   124509017.087,   108960192.012,,,,   111903619.083,   126864515.762,,
  1429365609.600,,,   128557929.427,,,,,,   127608025.421,,,,,   108741230.706,   130775586.295,,,   115342462.329,   113565183.633,,,   124508721.713,   108960308.996,,,,   111903426.379,   126864815.508,,
  1429365609.700,,,   128557762.267,,,,,,   127608067.054,,,,,   108741252.042,   130775992.531,,,   115342207.019,   113565399.791,,,   124508426.339,   108960425.984,,,,   111903233.669,   126865115.266,,
  1429365609.800,,,   128557595.110,,,,,,   127608108.710,,,,,   108741273.386,   130776398.748,,,   115341951.724,   113565615.943,,,   124508130.967,   108960542.978,,,,   111903040.953,   126865415.034,,
  1429365609.900,,,   128557427.957,,,,,,   127608150.389,,,,,   108741294.739,   130776804.947,,,   115341696.439,   113565832.090,,,   124507835.595,   108960659.976,,,,   111902848.230,   126865714.815,,
  1429365610.000,,,   128557260.806,,,,,,   127608192.090,,,,,   108741316.101,   130777211.126,,,   115341441.168,   113566048.232,,,   124507540.225,   108960776.979,,,,   111902655.501,   126866014.607,,
  1429365610.100,,,   128557093.660,,,,,,   127608233.814,,,,,   108741337.471,   130777617.287,,,   115341185.910,   113566264.369,,,   124507244.856,   108960893.988,,,,   111902462.766,   126866314.410,,
  1429365610.200,,,   128556926.518,,,,,,   127608275.561,,,,,   108741358.849,   130778023.429,,,   115340930.663,   113566480.502,,,   124506949.486,   108961011.002,,,,   111902270.025,   126866614.226,,
  1429365610.300,,,   128556759.380,,,,,,   127608317.330,,,,,   108741380.236,   130778429.552,,,   115340675.428,   113566696.630,,,   124506654.117,   108961128.021,,,,   111902077.277,   126866914.054,,
  1429365610.400,,,   128556592.246,,,,,,   127608359.122,,,,,   108741401.631,   130778835.658,,,   115340420.205,   113566912.754,,,   124506358.747,   108961245.046,,,,   111901884.524,   126867213.894,,
  1429365610.500,,,   128556425.117,,,,,,   127608400.936,,,,,   108741423.033,   130779241.745,,,   115340164.995,   113567128.874,,,   124506063.378,   108961362.076,,,,   111901691.764,   126867513.748,,
  1429365610.600,,,   128556257.993,,,,,,   127608442.772,,,,,   108741444.444,   130779647.812,,,   115339909.796,   113567344.989,,,   124505768.009,   108961479.111,,,,   111901498.999,   126867813.613,,
  1429365610.700,,,   128556090.873,,,,,,   127608484.630,,,,,   108741465.862,   130780053.863,,,   115339654.608,   113567561.101,,,   124505472.637,   108961596.152,,,,   111901306.227,   126868113.492,,
  1429365610.800,,,   128555923.760,,,,,,   127608526.510,,,,,   108741487.288,   130780459.893,,,   115339399.433,   113567777.209,,,   124505177.266,   108961713.199,,,,   111901113.450,   126868413.383,,
  1429365610.900,,,   128555756.651,,,,,,   127608568.412,,,,,   108741508.722,   130780865.906,,,   115339144.268,   113567993.313,,,   124504881.893,   108961830.252,,,,   111900920.666,   126868713.289,,
  1429365611.000,,,   128555589.549,,,,,,   127608610.335,,,,,   108741530.163,   130781271.899,,,   115338889.115,   113568209.413,,,   124504586.519,   108961947.310,,,,   111900727.877,   126869013.208,,
  1429365611.100,,,   128555422.453,,,,,,   127608652.280,,,,,   108741551.611,   130781677.874,,,   115338633.974,   113568425.510,,,   124504291.144,   108962064.374,,,,   111900535.082,   126869313.140,,
  1429365611.200,,,   128555255.363,,,,,,   127608694.246,,,,,   108741573.066,   130782083.831,,,   115338378.843,   113568641.604,,,   124503995.766,   108962181.444,,,,   111900342.281,   126869613.087,,
  1429365611.300,,,   128555088.279,,,,,,   127608736.233,,,,,   108741594.528,   130782489.768,,,   115338123.723,   113568857.694,,,   124503700.387,   108962298.520,,,,   111900149.475,   126869913.047,,
  1429365611.400,,,   128554921.202,,,,,,   127608778.242,,,,,   108741615.998,   130782895.687,,,   115337868.614,   113569073.782,,,   124503405.006,   108962415.603,,,,   111899956.662,   126870213.022,,
  1429365611.500,,,   128554754.131,,,,,,   127608820.272,,,,,   108741637.474,   130783301.588,,,   115337613.515,   113569289.866,,,   124503109.623,   108962532.691,,,,   111899763.845,   126870513.011,,
  1429365611.600,,,   128554587.069,,,,,,   127608862.322,,,,,   108741658.956,   130783707.470,,,   115337358.427,   113569505.948,,,   124502814.237,   108962649.786,,,,   111899571.022,   126870813.014,,
  1429365611.700,,,   128554420.013,,,,,,   127608904.393,,,,,   108741680.446,   130784113.335,,,   115337103.350,   113569722.028,,,   124502518.848,   108962766.887,,,,   111899378.192,   126871113.033,,
  1429365611.800,,,   128554252.965,,,,,,   127608946.485,,,,,   108741701.941,   130784519.180,,,   115336848.283,   113569938.104,,,   124502223.456,   108962883.995,,,,   111899185.359,   126871413.066,,
  1429365611.900,,,   128554085.924,,,,,,   127608988.597,,,,,   108741723.443,   130784925.007,,,   115336593.225,   113570154.179,,,   124501928.061,   108963001.109,,,,   111898992.519,   126871713.114,,
  1429365612.000,,,   128553918.892,,,,,,   127609030.729,,,,,   108741744.952,   130785330.816,,,   115336338.179,   113570370.251,,,   124501632.663,   108963118.229,,,,   111898799.674,   126872013.178,,
  1429365612.100,,,   128553751.868,,,,,,   127609072.881,,,,,   108741766.466,   130785736.606,,,   115336083.141,   113570586.321,,,   124501337.261,   108963235.356,,,,   111898606.824,   126872313.257,,
  1429365612.200,,,   128553584.852,,,,,,   127609115.054,,,,,   108741787.986,   130786142.378,,,   115335828.113,   113570802.390,,,   124501041.855,   108963352.490,,,,   111898413.969,   126872613.351,,
  1429365612.300,,,   128553417.845,,,,,,   127609157.246,,,,,   108741809.512,   130786548.132,,,   115335573.096,   113571018.456,,,   124500746.446,   108963469.630,,,,   111898221.108,   126872913.461,,
  1429365612.400,,,   128553250.847,,,,,,   127609199.458,,,,,   108741831.044,   130786953.868,,,   115335318.087,   113571234.522,,,   124500451.032,   108963586.778,,,,   111898028.243,   126873213.588,,
  1429365612.500,,,   128553083.858,,,,,,   127609241.689,,,,,   108741852.582,   130787359.585,,,   115335063.088,   113571450.585,,,   124500155.615,   108963703.932,,,,   111897835.373,   126873513.730,,
  1429365612.600,,,   128552916.879,,,,,,   127609283.939,,,,,   108741874.124,   130787765.284,,,   115334808.098,   113571666.648,,,   124499860.192,   108963821.093,,,,   111897642.498,   126873813.888,,
  1429365612.700,,,   128552749.908,,,,,,   127609326.209,,,,,   108741895.673,   130788170.966,,,   115334553.117,   113571882.709,,,   124499564.764,   108963938.262,,,,   111897449.617,   126874114.063,,
  1429365612.800,,,   128552582.948,,,,,,   127609368.498,,,,,   108741917.226,   130788576.629,,,   115334298.145,   113572098.769,,,   124499269.332,   108964055.437,,,,   111897256.732,   126874414.254,,
  1429365612.900,,,   128552415.997,,,,,,   127609410.805,,,,,   108741938.785,   130788982.275,,,   115334043.182,   113572314.829,,,   124498973.895,   108964172.620,,,,   111897063.843,   126874714.462,,
  1429365613.000,,,   128552249.057,,,,,,   127609453.131,,,,,   108741960.349,   130789387.902,,,   115333788.227,   113572530.887,,,   124498678.453,   108964289.809,,,,   111896870.949,   126875014.687,,
  1429365613.100,,,   128552082.127,,,,,,   127609495.476,,,,,   108741981.918,   130789793.511,,,   115333533.281,   113572746.946,,,   124498383.004,   108964407.006,,,,   111896678.051,   126875314.929,,
  1429365613.200,,,   128551915.208,,,,,,   127609537.839,,,,,   108742003.491,   130790199.104,,,   115333278.342,   113572963.004,,,   124498087.550,   108964524.211,,,,   111896485.148,   126875615.188,,
  1429365613.300,,,   128551748.300,,,,,,   127609580.220,,,,,   108742025.069,   130790604.678,,,   115333023.413,   113573179.061,,,   124497792.090,   108964641.423,,,,   111896292.241,   126875915.463,,
  1429365613.400,,,   128551581.402,,,,,,   127609622.619,,,,,   108742046.652,   130791010.236,,,   115332768.490,   113573395.119,,,   124497496.625,   108964758.642,,,,   111896099.329,   126876215.757,,
  1429365613.500,,,   128551414.516,,,,,,   127609665.036,,,,,   108742068.239,   130791415.775,,,   115332513.576,   113573611.177,,,   124497201.153,   108964875.869,,,,   111895906.413,   126876516.068,,
  1429365613.600,,,   128551247.642,,,,,,   127609707.471,,,,,   108742089.831,   130791821.296,,,   115332258.671,   113573827.235,,,   124496905.674,   108964993.103,,,,   111895713.494,   126876816.396,,
  1429365613.700,,,   128551080.779,,,,,,   127609749.922,,,,,   108742111.426,   130792226.801,,,   115332003.772,   113574043.294,,,   124496610.188,   108965110.346,,,,   111895520.570,   126877116.743,,
  1429365613.800,,,   128550913.928,,,,,,   127609792.392,,,,,   108742133.026,   130792632.288,,,   115331748.880,   113574259.353,,,   124496314.697,   108965227.595,,,,   111895327.642,   126877417.106,,
  1429365613.900,,,   128550747.089,,,,,,   127609834.878,,,,,   108742154.630,   130793037.758,,,   115331493.996,   113574475.412,,,   124496019.198,   108965344.853,,,,   111895134.711,   126877717.489,,
  1429365614.000,,,   128550580.262,,,,,,   127609877.381,,,,,   108742176.238,   130793443.211,,,   115331239.119,   113574691.473,,,   124495723.692,   108965462.119,,,,   111894941.776,   126878017.889,,
