Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,   128572246.614,,,,,,   127604578.719,,,,,   108739466.195,   130740568.569,,,   115364509.537,   113546528.369,,,   124534192.439,   108950244.145,,,,   111919955.538,   126839026.657,,
  1429365602.000,,,   128570581.413,,,,,,   127604977.960,,,,,   108739667.909,   130744638.244,,,   115361945.382,   113548696.298,,,   124531228.382,   108951413.759,,,,   111918030.345,   126842026.319,,
  1429365603.000,,,   128568915.546,,,,,,   127605379.097,,,,,   108739870.982,   130748707.183,,,   115359382.440,   113550863.584,,,   124528265.499,   108952583.432,,,,   111916105.041,   126845025.744,,
  1429365604.000,,,   128567249.124,,,,,,   127605782.197,,,,,   108740075.362,   130752775.237,,,   115356820.727,   113553030.233,,,   124525303.668,   108953753.215,,,,   111914179.553,   126848025.097,,
  1429365605.000,,,   128565582.275,,,,,,   127606187.299,,,,,   108740280.985,   130756842.274,,,   115354260.243,   113555196.269,,,   124522342.753,   108954923.163,,,,   111912253.821,   126851024.550,,
  1429365606.000,,,   128563915.144,,,,,,   127606594.421,,,,,   108740487.779,   130760908.179,,,   115351700.971,   113557361.731,,,   124519382.603,   108956093.337,,,,   111910327.802,   126854024.280,,
  1429365607.000,,,   128562247.891,,,,,,   127607003.556,,,,,   108740695.661,   130764972.859,,,   115349142.873,   113559526.674,,,   124516423.057,   108957263.797,,,,   111908401.464,   126857024.467,,
  1429365608.000,,,   128560580.684,,,,,,   127607414.672,,,,,   108740904.545,   130769036.242,,,   115346585.898,   113561691.173,,,   124513463.950,   108958434.607,,,,   111906474.796,   126860025.284,,
  1429365609.000,,,   128558913.702,,,,,,   127607827.714,,,,,   108741114.339,   130773098.281,,,   115344029.976,   113563855.311,,,   124510505.107,   108959605.832,,,,   111904547.799,   126863026.904,,
  1429365610.000,,,   128557247.127,,,,,,   127608242.605,,,,,   108741324.946,   130777158.950,,,   115341475.023,   113566019.188,,,   124507546.357,   108960777.535,,,,   111902620.492,   126866029.490,,
  1429365611.000,,,   128555581.143,,,,,,   127608659.245,,,,,   108741536.270,   130781218.250,,,   115338920.943,   113568182.912,,,   124504587.527,   108961949.778,,,,   111900692.908,   126869033.192,,
  1429365612.000,,,   128553915.933,,,,,,   127609077.515,,,,,   108741748.212,   130785276.206,,,   115336367.626,   113570346.602,,,   124501628.451,   108963122.618,,,,   111898765.098,   126872038.149,,
  1429365613.000,,,   128552251.674,,,,,,   127609497.279,,,,,   108741960.678,   130789332.869,,,   115333814.953,   113572510.383,,,   124498668.969,   108964296.111,,,,   111896837.124,   126875044.483,,
  1429365614.000,,,   128550588.536,,,,,,   127609918.386,,,,,   108742173.576,   130793388.311,,,   115331262.799,   113574674.383,,,   124495708.933,   108965470.307,,,,   111894909.064,   126878052.297,,
  1429365615.000,,,   128548926.676,,,,,,   127610340.672,,,,,   108742386.818,   130797442.625,,,   115328711.032,   113576838.736,,,   124492748.206,   108966645.249,,,,   111892981.005,   126881061.674,,
  1429365616.000,,,   128547266.240,,,,,,   127610763.965,,,,,   108742600.326,   130801495.928,,,   115326159.518,   113579003.573,,,   124489786.669,   108967820.975,,,,   111891053.046,   126884072.675,,
  1429365617.000,,,   128545607.355,,,,,,   127611188.084,,,,,   108742814.026,   130805548.352,,,   115323608.121,   113581169.022,,,   124486824.221,   108968997.515,,,,   111889125.294,   126887085.339,,
  1429365618.000,,,   128543950.130,,,,,,   127611612.848,,,,,   108743027.856,   130809600.047,,,   115321056.708,   113583335.208,,,   124483860.777,   108970174.891,,,,   111887197.862,   126890099.682,,
  1429365619.000,,,   128542294.654,,,,,,   127612038.074,,,,,   108743241.766,   130813651.176,,,   115318505.150,   113585502.251,,,   124480896.277,   108971353.118,,,,   111885270.867,   126893115.694,,
  1429365620.000,,,   128540640.994,,,,,,   127612463.583,,,,,   108743455.713,   130817701.910,,,   115315953.324,   113587670.257,,,   124477930.682,   108972532.200,,,,   111883344.430,   126896133.344,,
  1429365621.000,,,   128538989.191,,,,,,   127612889.202,,,,,   108743669.671,   130821752.431,,,   115313401.117,   113589839.325,,,   124474963.972,   108973712.136,,,,   111881418.672,   126899152.576,,
  1429365622.000,,,   128537339.264,,,,,,   127613314.769,,,,,   108743883.623,   130825802.923,,,   115310848.424,   113592009.541,,,   124471996.156,   108974892.913,,,,   111879493.711,   126902173.313,,
  1429365623.000,,,   128535691.208,,,,,,   127613740.132,,,,,   108744097.567,   130829853.570,,,   115308295.154,   113594180.975,,,   124469027.261,   108976074.512,,,,   111877569.661,   126905195.456,,
  1429365624.000,,,   128534044.992,,,,,,   127614165.156,,,,,   108744311.513,   130833904.556,,,   115305741.230,   113596353.683,,,   124466057.341,   108977256.904,,,,   111875646.630,   126908218.889,,
  1429365625.000,,,   128532400.562,,,,,,   127614589.724,,,,,   108744525.485,   130837956.058,,,   115303186.591,   113598527.704,,,   124463086.467,   108978440.056,,,,   111873724.720,   126911243.479,,
  1429365626.000,,,   128530757.841,,,,,,   127615013.737,,,,,   108744739.519,   130842008.243,,,   115300631.193,   113600703.061,,,   124460114.734,   108979623.924,,,,   111871804.021,   126914269.075,,
  1429365627.000,,,   128529116.729,,,,,,   127615437.119,,,,,   108744953.661,   130846061.268,,,   115298075.006,   113602879.758,,,   124457142.252,   108980808.461,,,,   111869884.613,   126917295.519,,
  1429365628.000,,,   128527477.109,,,,,,   127615859.815,,,,,   108745167.971,   130850115.276,,,   115295518.021,   113605057.782,,,   124454169.151,   108981993.612,,,,   111867966.561,   126920322.641,,
  1429365629.000,,,   128525838.845,,,,,,   127616281.795,,,,,   108745382.516,   130854170.389,,,   115292960.246,   113607237.103,,,   124451195.574,   108983179.319,,,,   111866049.918,   126923350.266,,
  1429365630.000,,,   128524201.784,,,,,,   127616703.053,,,,,   108745597.374,   130858226.714,,,   115290401.708,   113609417.673,,,   124448221.674,   108984365.523,,,,   111864134.724,   126926378.216,,
  1429365631.000,,,   128522565.764,,,,,,   127617123.608,,,,,   108745812.629,   130862284.335,,,   115287842.450,   113611599.430,,,   124445247.617,   108985552.158,,,,   111862220.999,   126929406.313,,
  1429365632.000,,,   128520930.610,,,,,,   127617543.502,,,,,   108746028.371,   130866343.314,,,   115285282.530,   113613782.295,,,   124442273.570,   108986739.161,,,,   111860308.751,   126932434.381,,
  1429365633.000,,,   128519296.142,,,,,,   127617962.800,,,,,   108746244.695,   130870403.688,,,   115282722.026,   113615966.177,,,   124439299.707,   108987926.467,,,,   111858397.969,   126935462.255,,
  1429365634.000,,,   128517662.178,,,,,,   127618381.591,,,,,   108746461.697,   130874465.470,,,   115280161.026,   113618150.972,,,   124436326.202,   108989114.013,,,,   111856488.628,   126938489.774,,
  1429365635.000,,,   128516028.532,,,,,,   127618799.982,,,,,   108746679.474,   130878528.648,,,   115277599.633,   113620336.567,,,   124433353.223,   108990301.737,,,,   111854580.687,   126941516.792,,
  1429365636.000,,,   128514395.026,,,,,,   127619218.101,,,,,   108746898.125,   130882593.186,,,   115275037.961,   113622522.840,,,   124430380.936,   108991489.583,,,,   111852674.090,   126944543.180,,
  1429365637.000,,,   128512761.485,,,,,,   127619636.091,,,,,   108747117.742,   130886659.026,,,   115272476.130,   113624709.663,,,   124427409.494,   108992677.496,,,,   111850768.768,   126947568.821,,
  1429365638.000,,,   128511127.744,,,,,,   127620054.110,,,,,   108747338.415,   130890726.083,,,   115269914.269,   113626896.906,,,   124424439.041,   108993865.429,,,,   111848864.640,   126950593.622,,
  1429365639.000,,,   128509493.652,,,,,,   127620472.325,,,,,   108747560.229,   130894794.255,,,   115267352.512,   113629084.436,,,   124421469.707,   108995053.341,,,,   111846961.612,   126953617.509,,
  1429365640.000,,,   128507859.072,,,,,,   127620890.912,,,,,   108747783.259,   130898863.416,,,   115264790.992,   113631272.122,,,   124418501.603,   108996241.196,,,,   111845059.583,   126956640.431,,
  1429365641.000,,,   128506223.883,,,,,,   127621310.054,,,,,   108748007.573,   130902933.427,,,   115262229.845,   113633459.835,,,   124415534.825,   108997428.968,,,,   111843158.442,   126959662.359,,
  1429365642.000,,,   128504587.988,,,,,,   127621729.932,,,,,   108748233.228,   130907004.133,,,   115259669.203,   113635647.453,,,   124412569.446,   108998616.637,,,,   111841258.076,   126962683.288,,
  1429365643.000,,,   128502951.306,,,,,,   127622150.728,,,,,   108748460.271,   130911075.364,,,   115257109.190,   113637834.862,,,   124409605.518,   108999804.193,,,,   111839358.365,   126965703.238,,
  1429365644.000,,,   128501313.783,,,,,,   127622572.619,,,,,   108748688.736,   130915146.945,,,   115254549.927,   113640021.957,,,   124406643.071,   109000991.634,,,,   111837459.190,   126968722.250,,
